n,scenario,requested_ratio,actual_ratio,generated_permutations,prefix_tests,rejected_prefixes,comparisons,local_assignments,vector_assignments,elapsed_seconds,internal_overhead_ratio,overhead_comparisons_pct,overhead_local_assignments_pct,overhead_vector_assignments_pct,overhead_elapsed_seconds_pct
10,X_ratio_0.1,0.1,0.1,362880,986419,9,13298669,8468810,3843428,2.2884014579758514,2.718306327160494,5.887841934976157e-05,4.676003496212333e-05,4.683341095490512e-05,0.12897502625305868
10,X_ratio_0.2,0.2,0.2,725760,1972828,8,26597251,16937576,7686836,4.540424374979921,2.718292548500882,5.233637275503522e-05,4.1564475522504196e-05,4.162969862719912e-05,0.09693051998028446
10,X_ratio_0.3,0.3,0.3,1088640,2959237,7,39895833,25406342,11530244,6.962175709020812,2.7182879556143447,4.579432616447221e-05,3.636891608427284e-05,3.642598629949312e-05,0.8161418265455689
10,X_ratio_0.4,0.4,0.4,1451520,3945646,6,53194415,33875108,15373652,9.586486915999558,2.718285659171076,3.9252279565582526e-05,3.117335664049037e-05,3.1222273966236e-05,2.4319282891690497
10,X_ratio_0.5,0.5,0.5,1814400,4932055,5,66492997,42343874,19217060,11.330746708001243,2.7182842813051145,3.271023297779507e-05,2.5977797202259012e-05,2.6018561638530002e-05,0.1524109915834404
10,X_ratio_0.6,0.6,0.6,2177280,5918464,4,79791579,50812640,23060468,13.780886541993823,2.7182833627278074,2.6168186384456504e-05,2.0782237764027656e-05,2.0814849310824002e-05,0.9972761278302378
10,X_ratio_0.7,0.7,0.7,2540160,6904873,3,93090161,59281406,26903876,17.21106250002049,2.718282706601159,1.9626139791117936e-05,1.55866783257963e-05,1.561113699422023e-05,6.17999963703385
10,X_ratio_0.8,0.8,0.8,2903040,7891282,2,106388743,67750172,30747284,17.860302625020267,2.7182822145061727,1.3084093186677137e-05,1.0391118876462713e-05,1.0407424655412001e-05,-0.9463188289660418
10,X_ratio_0.9,0.9,0.9,3265920,8877691,1,119687325,76218938,34590692,20.715161040978273,2.718281831765628,6.5420465933385685e-06,5.195559438231356e-06,5.2037123277060005e-06,1.6899209784952962
10,X_ratio_1.0,1.0,1.0,3628800,9864100,0,132985907,84687704,38434100,22.99480187500012,2.7182815255731922,0.0,0.0,0.0,1.7801195300457984
