n,scenario,requested_ratio,generated_permutations,prefix_tests,rejected_prefixes,comparisons,local_assignments,vector_assignments,elapsed_seconds,internal_overhead_ratio,actual_ratio,comparisons_normalized,overhead_comparisons_pct,local_assignments_normalized,overhead_local_assignments_pct,vector_assignments_normalized,overhead_vector_assignments_pct,elapsed_seconds_normalized,overhead_elapsed_seconds_pct,accepted_percent,identity_ratio
3,X_n3_ratio_0.3333,0.3333333333333333,2,7,2,88,53,23,1.5375000657513738e-05,3.5,0.3333333333333333,0.43564356435643564,10.231023102310232,0.41732283464566927,8.398950131233596,0.40350877192982454,7.017543859649122,0.47613901632252076,-1.6864564107448687,33.33333333333333,0.3333333333333333
3,X_n3_ratio_0.6667,0.6666666666666666,4,11,1,145,90,40,2.333297743462026e-05,2.75,0.6666666666666666,0.7178217821782178,5.115511551155116,0.7086614173228346,4.199475065616798,0.7017543859649122,3.508771929824561,0.7225847446169931,-18.63962058325081,66.66666666666666,0.6666666666666666
3,X_n3_ratio_1.0000,1.0,6,15,0,202,127,57,3.229099093005061e-05,2.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-33.53437580685066,100.0,1.0
4,X_n4_ratio_0.2500,0.25,6,19,3,245,152,68,3.837500116787851e-05,3.1666666666666665,0.25,0.28389339513325607,3.3893395133256066,0.2773722627737226,2.737226277372262,0.27419354838709675,2.4193548387096753,0.26969190340340415,2.048458312443535,25.0,0.25
4,X_n4_ratio_0.5000,0.5,12,34,2,451,284,128,7.20839889254421e-05,2.8333333333333335,0.5,0.522595596755504,2.2595596755504044,0.5182481751824818,1.8248175182481785,0.5161290322580645,1.6129032258064502,0.5065919892266968,0.8080966803069134,50.0,0.5
4,X_n4_ratio_0.7500,0.75,18,49,1,657,416,188,0.000108457985334,2.7222222222222223,0.75,0.761297798377752,1.1297798377752022,0.7591240875912408,0.9124087591240836,0.7580645161290323,0.8064516129032251,0.7622212277222974,1.4461551969029207,75.0,0.75
4,X_n4_ratio_1.0000,1.0,24,64,0,863,548,248,0.0001422920031473,2.6666666666666665,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.2939204740801004,100.0,1.0
5,X_n5_ratio_0.2000,0.2,24,69,4,914,577,261,0.0001509159919805,2.875,0.2,0.20858055682336832,0.8580556823368307,0.2068841878809609,0.6884187880960901,0.20632411067193676,0.632411067193675,0.2087958805140737,0.860337868156158,20.0,0.2
5,X_n5_ratio_0.4000,0.4,48,133,3,1781,1130,512,0.0002934160002041,2.7708333333333335,0.4,0.4064354176175262,0.6435417617526196,0.4051631409107207,0.5163140910720676,0.40474308300395256,0.4743083003952542,0.40594804643002097,0.5573777825301274,40.0,0.4
5,X_n5_ratio_0.6000,0.6,72,197,2,2648,1683,763,0.0004382090119179,2.736111111111111,0.6,0.6042902784116841,0.4290278411684167,0.6034420939404804,0.344209394048045,0.6031620553359683,0.3162055335968361,0.6062726374579472,0.5713677226142799,60.0,0.6
5,X_n5_ratio_0.8000,0.8,96,261,1,3515,2236,1014,0.0005704159848392,2.71875,0.8,0.8021451392058421,0.2145139205842028,0.8017210469702403,0.1721046970240225,0.8015810276679842,0.158102766798418,0.7891841431171348,-1.154345454166572,80.0,0.8
5,X_n5_ratio_1.0000,1.0,120,325,0,4382,2789,1265,0.0007227919995784,2.7083333333333335,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.0921961832437534,100.0,1.0
6,X_n6_ratio_0.1667,0.1666666666666666,120,331,5,4441,2822,1280,0.0007140829984564,2.7583333333333333,0.1666666666666666,0.16840468696674377,0.1738020300077108,0.16805621724630776,0.1389550579641102,0.1679790026246719,0.1312335958005256,0.16651761839479412,-0.1616448948914134,16.66666666666666,0.1666666666666666
6,X_n6_ratio_0.3333,0.3333333333333333,240,656,4,8827,5616,2548,0.0014473750197794,2.7333333333333334,0.3333333333333333,0.334723749573395,0.1390416240061698,0.3344449737970462,0.111164046371287,0.33438320209973754,0.1049868766404227,0.3375146050792012,0.1206996922696268,33.33333333333333,0.3333333333333333
6,X_n6_ratio_0.5000,0.5,360,981,3,13213,8410,3816,0.0021469999919645,2.725,0.5,0.5010428121800463,0.1042812180046315,0.5008337303477847,0.0833730347784666,0.5007874015748032,0.078740157480317,0.500660744098922,-0.3751220964853252,50.0,0.5
